"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2026","3,629.91","3,631.46","3,632.30","3,629.63","","-0.04%"
"03/09/2026","3,631.30","3,622.27","3,631.68","3,620.80","","0.46%"
"02/09/2026","3,614.68","3,605.13","3,616.47","3,604.84","","0.31%"
"01/09/2026","3,603.68","3,602.63","3,612.18","3,596.32","","-0.36%"
"31/08/2026","3,616.88","3,616.35","3,618.04","3,610.76","","-0.04%"
"28/08/2026","3,618.24","3,620.96","3,626.46","3,614.77","","-0.01%"
"27/08/2026","3,618.46","3,612.79","3,620.13","3,610.10","","0.35%"
"26/08/2026","3,605.96","3,602.51","3,608.39","3,600.70","","0.05%"
"25/08/2026","3,604.23","3,604.13","3,604.87","3,599.01","","0.18%"
"24/08/2026","3,597.85","3,597.52","3,601.30","3,593.90","","-0.05%"
"22/08/2026","3,599.65","3,601.91","3,599.65","3,599.65","","0.00%"
"21/08/2026","3,599.65","3,601.91","3,602.00","3,598.38","","-0.05%"
"20/08/2026","3,601.58","3,601.40","3,601.58","3,601.40","","0.01%"
"19/08/2026","3,601.07","3,600.92","3,601.09","3,599.76","","0.02%"
"18/08/2026","3,600.34","3,600.25","3,600.41","3,600.06","","0.01%"
"17/08/2026","3,600.15","3,600.21","3,600.25","3,599.92","","0.03%"
"16/08/2026","3,598.95","3,598.76","3,598.95","3,598.95","","0.00%"
"14/08/2026","3,598.95","3,598.76","3,599.11","3,598.63","","0.02%"
"13/08/2026","3,598.16","3,597.90","3,598.26","3,597.90","","0.03%"
"12/08/2026","3,596.96","3,596.99","3,597.18","3,596.60","","0.05%"
"11/08/2026","3,595.04","3,595.32","3,595.83","3,594.67","","0.01%"
"10/08/2026","3,594.67","3,594.58","3,595.23","3,594.38","","0.05%"
"08/08/2026","3,592.94","3,591.59","3,592.94","3,592.94","","0.00%"
"07/08/2026","3,592.94","3,591.59","3,593.25","3,591.49","","0.10%"
"06/08/2026","3,589.52","3,589.06","3,590.53","3,588.38","","0.03%"
"05/08/2026","3,588.38","3,589.30","3,589.78","3,587.37","","0.04%"
"04/08/2026","3,586.84","3,582.55","3,587.93","3,581.73","","0.25%"
"03/08/2026","3,578.07","3,566.00","3,578.89","3,565.78","","0.58%"
"31/07/2026","3,557.59","3,551.76","3,562.24","3,530.99","","0.36%"
"30/07/2026","3,544.94","3,524.20","3,544.94","3,520.66","","1.30%"
